prime,trace
2,2
3,2
5,3
7,5
11,4
13,3
17,6
19,-5
23,4
29,6
31,-4
37,8
41,3
43,-12
47,2
53,6
59,-3
61,8
67,5
71,10
73,7
79,13
83,12
89,8
97,9
101,4
103,6
107,0
109,-2
113,-9
127,-11
131,-2
137,2
139,-16
149,-10
151,10
157,6
163,20
167,-8
173,-15
179,19
181,-15
191,4
193,18
197,-8
199,2
211,-7
223,5
227,-12
229,8
233,6
239,-5
241,30
251,-22
257,-8
263,24
269,-3
271,8
277,-17
281,12
283,9
293,10
307,-26
311,7
313,-19
317,22
331,-4
337,18
347,-9
349,10
353,-14
359,20
367,-2
373,22
379,-4
383,7
389,-1
397,-24
401,22
409,1
419,35
421,16
431,-11
433,-29
439,-16
443,-35
449,24
457,9
461,14
463,27
467,-28
479,-36
487,-20
491,27
499,36
503,9
509,-30
521,-8
523,-38
541,20
547,-8
557,-6
563,10
569,15
571,-12
577,10
587,24
593,-44
599,0
601,40
607,-7
613,12
617,6
619,-24
631,30
641,-7
643,48
647,-10
653,-30
659,27
661,17
673,-2
677,-22
683,21
691,17
701,-34
709,19
719,19
727,26
733,43
739,-22
743,-15
751,38
757,24
761,21
769,-5
773,27
787,-32
797,18
809,-10
811,-16
821,-34
823,-32
827,52
829,2
839,-4
853,14
857,-39
859,-1
863,-13
877,23
881,14
883,50
887,20
907,16
911,24
919,-47
929,30
937,-9
941,6
947,-28
953,9
967,-8
971,-5
977,24
983,25
991,53
997,22
1009,-62
1013,-36
1019,-36
1021,54
1031,-12
1033,-40
1039,-24
1049,0
1051,-64
1061,-54
1063,14
1069,18
1087,61
1091,36
1093,21
1097,52
1103,-16
1109,31
1117,22
1123,48
1129,-66
1151,36
1153,-6
1163,-43
1171,3
1181,48
1187,-3
1193,30
1201,-50
1213,-1
1217,-60
1223,-26
1229,1
1231,-20
1237,6
1249,-28
1259,14
1277,52
1279,-28
1283,4
1289,-25
1291,-26
1297,38
1301,44
1303,18
1307,-69
1319,-6
1321,-2
1327,12
1361,2
1367,16
1373,1
1381,-17
1399,20
1409,-6
1423,-73
1427,-20
1429,5
1433,26
1439,5
1447,-34
1451,10
1453,-44
1459,-31
1471,31
1481,66
1483,52
1487,72
1489,3
1493,-1
1499,36
1511,72
1523,-32
1531,68
1543,5
1549,-10
1553,36
1559,34
1567,-47
1571,6
1579,44
1583,-6
1597,34
1601,75
1607,32
1609,48
1613,4
1619,35
1621,26
1627,60
1637,42
1657,58
1663,-62
1667,-19
1669,22
1693,-26
1697,-62
1699,-35
1709,-63
1721,-54
1723,36
1733,40
1741,-24
1747,56
1753,22
1759,-20
1777,-7
1783,36
1787,4
1789,-32
1801,27
1811,-42
1823,-56
1831,-7
1847,-40
1861,-70
1867,33
1871,-45
1873,-10
1877,69
1879,11
1889,6
1901,-14
1907,60
1913,30
1931,-30
1933,-74
1949,-31
1951,-1
1973,-13
1979,-18
1987,-55
1993,-84
1997,15
1999,-40
2003,-27
2011,85
2017,38
2027,72
2029,80
2039,-83
2053,18
2063,-68
2069,-52
2081,-18
2083,-56
2087,51
2089,-53
2099,-6
2111,-88
2113,53
2129,81
2131,-22
2137,20
2141,-75
2143,38
2153,-29
2161,-74
2179,-50
2203,-64
2207,-27
2213,71
2221,55
2237,-2
2239,81
2243,17
2251,52
2267,8
2269,-35
2273,36
2281,-14
2287,-62
2293,51
2297,-36
2309,-70
2311,62
2333,-17
2339,-36
2341,1
2347,-88
2351,-33
2357,64
2371,-4
2377,22
2381,-14
2383,-9
2389,-43
2393,27
2399,69
2411,5
2417,-78
2423,-30
2437,28
2441,48
2447,-57
2459,65
2467,47
2473,66
2477,18
2503,96
2521,-1
2531,-72
2539,-75
2543,-57
2549,90
2551,-4
2557,-34
2579,-15
2591,-26
2593,32
2609,34
2617,5
2621,-77
2633,48
2647,-35
2657,33
2659,-17
2663,82
2671,40
2677,-42
2683,-52
2687,39
2689,38
2693,30
2699,-49
2707,29
2711,-50
2713,50
2719,-40
2729,66
2731,76
2741,96
2749,-22
2753,-89
2767,-41
2777,61
2789,-55
2791,91
2797,103
2801,-66
2803,-56
2819,-76
2833,-28
2837,-87
2843,-48
2851,18
2857,-22
2861,28
2879,30
2887,-53
2897,72
2903,64
2909,66
2917,-2
2927,-70
2939,89
2953,49
2957,0
2963,-16
2969,18
2971,13
2999,-25
3001,22
3011,44
3019,83
3023,82
3037,-10
3041,22
3049,-54
3061,-88
3067,95
3079,-64
3083,94
3089,-58
3109,30
3119,-57
3121,-35
3137,-97
3163,42
3167,-24
3169,-82
3181,38
3187,22
3191,63
3203,-71
3209,-75
3217,92
3221,-106
3229,-61
3251,82
3253,19
3257,16
3259,40
3271,-88
3299,69
3301,62
3307,-50
3313,-100
3319,-38
3323,-99
3329,-52
3331,-34
3343,-14
3347,62
3359,93
3361,-21
3371,-44
3373,-36
3389,75
3391,-70
3407,-3
3413,12
3433,-13
3449,6
3457,-2
3461,-30
3463,-82
3467,90
3469,-66
3491,-60
3499,-100
3511,32
3517,59
3527,88
3529,34
3533,44
3539,-66
3541,-46
3547,73
3557,50
3559,45
3571,-98
3581,-63
3583,72
3593,-18
3607,27
3613,-7
3617,78
3623,40
3631,-22
3637,32
3643,99
3659,-24
3671,-2
3673,-14
3677,65
3691,-110
3697,-47
3701,92
3709,71
3719,-3
3727,-94
3733,61
3739,-40
3761,49
3767,-48
3769,-67
3779,-75
3793,-5
3797,-51
3803,48
3821,-30
3823,48
3833,-12
3847,44
3851,-74
3853,-108
3863,34
3877,-97
3881,-35
3889,35
3907,-27
3911,-88
3917,-16
3919,-76
3923,-48
3929,-32
3931,64
3943,34
3947,-36
3967,48
3989,-119
4001,55
4003,25
4007,-112
4013,14
4019,84
4021,64
4027,-39
4049,55
4051,54
4057,-72
4073,29
4079,-94
4091,12
4093,68
4099,-116
4111,-9
4127,-18
4129,67
4133,-32
4139,-41
4153,84
4157,3
4159,-71
4177,50
4201,-5
4211,-115
4217,81
4219,28
4229,48
4231,76
4241,64
4243,-4
4253,30
4259,-97
4261,-32
4271,-54
4273,-26
4283,-61
4289,-96
4297,-66
4327,44
4337,-7
4339,-34
4349,118
4357,-30
4363,86
4373,106
4391,-25
4397,36
4409,30
4421,29
4423,-83
4441,24
4447,-32
4451,64
4457,15
4463,81
4481,-75
4483,70
4493,-111
4507,64
4513,38
4517,-66
4519,28
4523,92
4547,113
4549,49
4561,98
4567,-24
4583,21
4591,80
4597,-48
4603,37
4621,82
4637,-82
4639,-14
4643,119
4649,-27
4651,-43
4657,41
4663,23
4673,-9
4679,131
4691,-90
4703,128
4721,12
4723,3
4729,80
4733,29
4751,90
4759,-61
4783,44
4787,87
4789,-29
4793,43
4799,20
4801,82
4813,108
4817,104
4831,-10
4861,-35
4871,-34
4877,59
4889,10
4903,26
4909,62
4919,58
4931,30
4933,64
4937,-9
4943,-9
4951,95
4957,11
4967,-24
4969,100
4973,-30
4987,-12
4993,2
4999,-60
5003,37
5009,18
5011,35
5021,65
5023,-26
5039,-98
5051,109
5059,-92
5077,-62
5081,-37
5087,48
5099,57
5101,-14
5107,-80
5113,-34
5119,-25
5147,62
5153,-103
5167,92
5171,3
5179,43
5189,-88
5197,13
5209,-10
5227,-102
5231,-30
5233,139
5237,-87
5261,-26
5273,-110
5279,66
5281,92
5297,-6
5303,11
5309,42
5323,-112
5333,42
5347,-33
5351,23
5381,87
5387,132
5393,-136
5399,26
5407,-4
5413,26
5417,-12
5419,-60
5431,-40
5437,87
5441,105
5443,28
5449,-136
5471,45
5477,-24
5479,8
5483,104
5501,75
5503,34
5507,-68
5519,35
5521,-40
5527,-88
5531,64
5557,-139
5563,-111
5569,-68
5573,-71
5581,-58
5591,4
5623,-32
5639,24
5641,-16
5647,64
5651,-148
5653,-88
5657,-58
5659,21
5669,74
5683,68
5689,-54
5693,-49
5701,38
5711,-84
5717,148
5737,40
5741,81
5743,48
5749,85
5779,2
5783,-20
5791,89
5801,-64
5807,25
5813,4
5821,44
5827,68
5839,-115
5843,42
5849,104
5851,-44
5857,120
5861,-20
5867,-48
5869,-8
5879,-19
5881,-86
5897,35
5903,8
5923,-8
5927,-100
5939,-10
5953,46
5981,-20
5987,-4
6007,16
6011,12
6029,-134
6037,-7
6043,65
6047,52
6053,111
6067,93
6073,-94
6079,-46
6089,126
6091,105
6101,146
6113,129
6121,60
6131,45
6133,-25
6143,96
6151,36
6163,136
6173,72
6197,-72
6199,-128
6203,-132
6211,84
6217,-23
6221,-120
6229,47
6247,-18
6257,-42
6263,-80
6269,14
6271,4
6277,-34
6287,24
6299,-36
6301,119
6311,75
6317,-27
6323,5
6329,-6
6337,-79
6343,-25
6353,-27
6359,26
6361,-42
6367,-75
6373,-152
6379,-8
6389,6
6397,-50
6421,-104
6427,-100
6449,-10
6451,134
6469,-26
6473,26
6481,42
6491,129
6521,122
6529,-92
6547,-17
6551,-57
6553,-144
6563,-64
6569,63
6571,121
6577,-23
6581,16
6599,106
6607,-115
6619,3
6637,-147
6653,120
6659,-100
6661,0
6673,-2
6679,-41
6689,-119
6691,-12
6701,30
6703,-16
6709,7
6719,-109
6733,-17
6737,74
6761,148
6763,121
6779,-108
6781,23
6791,117
6793,-62
6803,-54
6823,-73
6827,-41
6829,10
6833,59
6841,162
6857,102
6863,-34
6869,-114
6871,122
6883,-24
6899,-30
6907,-52
6911,40
6917,57
6947,99
6949,74
6959,40
6961,78
6967,-52
6971,-132
6977,99
6983,-27
6991,-105
6997,103
7001,-78
7013,62
7019,96
7027,72
7039,146
7043,17
7057,93
7069,18
7079,-145
7103,84
7109,108
7121,-11
7127,57
7129,-75
7151,-124
7159,88
7177,22
7187,-28
7193,48
7207,-32
7211,161
7213,75
7219,-94
7229,-12
7237,-106
7243,134
7247,-95
7253,-132
7283,-130
7297,102
7307,-52
7309,-34
7321,-88
7331,-30
7333,155
7349,95
7351,-130
7369,18
7393,154
7411,-148
7417,-82
7433,38
7451,-138
7457,-43
7459,116
7477,-115
7481,-84
7487,-31
7489,104
7499,32
7507,80
7517,98
7523,166
7529,138
7537,134
7541,-17
7547,144
7549,-32
7559,19
7561,16
7573,-104
7577,-152
7583,-144
7589,-2
7591,92
7603,34
7607,163
7621,-145
7639,29
7643,75
7649,36
7669,-101
7673,-4
7681,-49
7687,24
7691,100
7699,-100
7703,112
7717,31
7723,30
7727,12
7741,-58
7753,-164
7757,-126
7759,-60
7789,30
7793,-6
7817,-90
7823,66
7829,59
7841,30
7853,2
7867,-73
7873,29
7877,109
7879,-149
7883,134
7901,27
7907,9
7919,-4
7927,46
7933,-38
7937,46
7949,85
7951,52
7963,-93
7993,-34
8009,-12
8011,-100
8017,-36
8039,-108
8053,-74
8059,-46
8069,21
8081,140
8087,70
8089,30
8093,-51
8101,135
8111,87
8117,9
8123,12
8147,108
8161,38
8167,38
8171,-108
8179,10
8191,-14
8209,-64
8219,66
8221,-93
8231,-64
8233,-15
8237,-42
8243,36
8263,0
8269,-134
8273,-100
8287,-72
8291,89
8293,120
8297,-96
8311,48
8317,132
8329,108
8353,-82
8363,48
8369,84
8377,-113
8387,108
8389,65
8419,86
8423,-82
8429,86
8431,-101
8443,142
8447,-108
8461,93
8467,-156
8501,-108
8513,27
8521,52
8527,126
8537,12
8539,-113
8543,18
8563,29
8573,126
8581,-118
8597,-58
8599,64
8609,-98
8623,137
8627,-36
8629,-44
8641,10
8647,24
8663,-114
8669,30
8677,-37
8681,40
8689,6
8693,130
8699,87
8707,-28
